tiempoMedicion;valor
05:30;02:00
05:32;02:00
05:35;05:00
05:38;05:00
05:45;10:00
05:46;05:00
05:49;05:00
05:49;03:00
05:50;03:00
05:51;10:00
05:52;03:00
05:30;02:00
05:32;02:00
05:35;05:00
05:38;05:00
05:45;10:00
05:46;05:00
05:49;05:00
05:49;03:00
05:50;03:00
05:51;10:00
05:52;03:00
05:30;02:00
05:32;02:00
05:35;05:00
05:38;05:00
05:45;10:00
05:46;05:00
05:49;05:00
05:49;03:00
05:50;03:00
05:51;10:00
05:52;03:00
05:30;02:00
05:32;02:00
05:35;05:00
05:38;05:00
05:45;10:00
05:46;05:00
05:49;05:00
05:49;03:00
05:50;03:00
05:51;10:00
05:52;03:00
