Dispositivo;tiempoMedicion;valor
Camara;05:30;Manos
Camara;05:32;Hombros
Camara;05:35;Manos
Camara;05:38;Cabeza
Camara;05:45;Cabeza
Camara;05:46;Manos
Camara;05:49;Brazos
Camara;05:49;Cuerpo
Camara;05:50;Cabeza
Camara;05:51;Manos
Camara;05:52;Manos
Camara;05:30;Manos
Camara;05:32;Hombros
Camara;05:35;Manos
Camara;05:38;Cabeza
Camara;05:45;Cabeza
Camara;05:46;Manos
Camara;05:49;Brazos
Camara;05:49;Cuerpo
Camara;05:50;Cabeza
Camara;05:51;Manos
Camara;05:52;Manos
Camara;05:30;Manos
Camara;05:32;Hombros
Camara;05:35;Manos
Camara;05:38;Cabeza
Camara;05:45;Cabeza
Camara;05:46;Manos
Camara;05:49;Brazos
Camara;05:49;Cuerpo
Camara;05:50;Cabeza
Camara;05:51;Manos
Camara;05:52;Manos
