Grupo;tiempoMedicion;valor
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
1;05:30;Abierta
1;05:32;Cerrada
3;05:35;Semi-Abierta
2;05:38;Cerrada
1;05:45;Semi-Cerrada
1;05:46;Cerrada
1;05:49;Abierta
1;05:49;Abierta
1;05:50;Abierta
1;05:51;Abierta
1;05:52;Cerrada
